Algorithm,Accel?,Nodes,Min. Distance,Max. Distance,Min. Descent,Max. Descent
SD,nesterov,16,2.317E-11,5.076E-11,2.336E-09,6.101E-09
SD,none,16,2.961E-11,7.127E-11,3.757E-08,7.029E-08
SD,nesterov,32,1.640E-10,2.160E-10,1.046E-08,1.687E-08
SD,none,32,4.093E-10,5.474E-10,1.386E-07,1.614E-07
SD,nesterov,64,9.352E-10,1.103E-09,3.529E-08,3.920E-08
SD,none,64,1.945E-08,2.358E-08,9.902E-07,1.088E-06
SD,nesterov,128,4.275E-09,4.518E-09,7.698E-08,7.971E-08
SD,none,128,5.116E-05,5.649E-05,3.277E-05,3.448E-05
SD,nesterov,256,2.483E-08,2.544E-08,1.539E-07,1.570E-07
SD,none,256,1.249E-02,1.449E-02,2.585E-04,2.789E-04
SD,nesterov,512,5.838E-07,6.132E-07,6.083E-07,6.265E-07
SD,none,512,2.031E-01,2.287E-01,5.666E-04,5.974E-04
